0,x=10+5,15,"[""Congruent(Triangle(R,S,T),Triangle(X,Y,Z))"", ""Find(y)"", ""Equals(LengthOf(Line(T, R)), x+21)"", ""Equals(MeasureOf(Angle(T, R, S)), 4y-10)"", ""Equals(MeasureOf(Angle(Z, X, Y)), 3y+5)"", ""Equals(LengthOf(Line(Z, X)), 2x-14)""]",Congruent Triangle RST Triangle XYZ   Find y  Equals LengthOf Line T R   x+21  Equals MeasureOf Angle T R S   4y-10  Equals MeasureOf Angle Z X Y   3y+5  Equals LengthOf Line Z X   2x-14 
1,x=(17.9-5)/2,6.45,"[""Parallelogram(M,N,P,R)"", ""Find(y)"", ""Equals(LengthOf(Line(P, Q)), 11.1)"", ""Equals(MeasureOf(Angle(N, Q, P)), 83)"", ""Equals(LengthOf(Line(R, P)), 20)"", ""Equals(LengthOf(Line(M, N)), 3x-4)"", ""Equals(LengthOf(Line(P, N)), 2y+5)"", ""Equals(LengthOf(Line(N, Q)), 15.4)"", ""Equals(MeasureOf(Angle(Q, N, M)), 33)"", ""Equals(LengthOf(Line(M, N)), 3x-4)"", ""Equals(LengthOf(Line(R, Q)), 3z-3)"", ""Equals(MeasureOf(Angle(M, R, Q)), 38)"", ""Equals(LengthOf(Line(R, M)), 17.9)"", ""PointLiesOnLine(Q, Line(R, N))"", ""PointLiesOnLine(Q, Line(P, M))""]",Parallelogram MNPR  Find y  Equals LengthOf Line P Q   11.1  Equals MeasureOf Angle N Q P   83  Equals LengthOf Line R P   20  Equals LengthOf Line M N   3x-4  Equals LengthOf Line P N   2y+5  Equals LengthOf Line N Q   15.4  Equals MeasureOf Angle Q N M   33  Equals LengthOf Line M N   3x-4  Equals LengthOf Line R Q   3z-3  Equals MeasureOf Angle M R Q   38  Equals LengthOf Line R M   17.9  PointLiesOnLine Q Line R N   PointLiesOnLine Q Line P M  
2,x=(54+86)/2,70,"[""IsMedianOf(Line(J,K),Quadrilateral(A,B,T,Q))"", ""Find(LengthOf(Line(J,K)))"", ""Equals(LengthOf(Line(Q, T)), 86)"", ""Equals(LengthOf(Line(R, S)), 54)"", ""PointLiesOnLine(A, Line(R, Q))"", ""PointLiesOnLine(B, Line(S, T))"", ""Equals(LengthOf(Line(Q, A)), LengthOf(Line(R, A)))"", ""Equals(LengthOf(Line(B, T)), LengthOf(Line(S, B)))""]",IsMedianOf Line JK Quadrilateral ABTQ   Find LengthOf Line JK    Equals LengthOf Line Q T   86  Equals LengthOf Line R S   54  PointLiesOnLine A Line R Q   PointLiesOnLine B Line S T   Equals LengthOf Line Q A   LengthOf Line R A    Equals LengthOf Line B T   LengthOf Line S B   
3,x=180-112,68,"[""Trapezoid(W,X,Y,Z)"", ""Find(MeasureOf(Angle(Z)))"", ""Equals(LengthOf(Line(W, Z)), 23)"", ""Equals(MeasureOf(Angle(Z, W, X)), 112)"", ""Equals(LengthOf(Line(X, Y)), 23)"", ""Parallel(Line(W, X), Line(Z, Y))""]",Trapezoid WXYZ  Find MeasureOf Angle Z    Equals LengthOf Line W Z   23  Equals MeasureOf Angle Z W X   112  Equals LengthOf Line X Y   23  Parallel Line W X  Line Z Y  
13,x=36/4,9,"[""Parallelogram(A, C, B, D)"", ""Find(y)"", ""Equals(LengthOf(Line(A, D)), 2x+3)"", ""Equals(LengthOf(Line(J, D)), 4y)"", ""Equals(LengthOf(Line(A, C)), 8y-36)"", ""Equals(LengthOf(Line(B, J)), 5x)""]",Parallelogram A C B D  Find y  Equals LengthOf Line A D   2x+3  Equals LengthOf Line J D   4y  Equals LengthOf Line A C   8y-36  Equals LengthOf Line B J   5x 
17,x=20*(180/(10+20)),120,"[""Parallelogram(M,N,P,Q)"", ""Equals(MeasureOf(Angle(M)),10x)"", ""Equals(MeasureOf(Angle(N)),20x)"", ""Find(MeasureOf(Angle(Q)))"", ""Equals(MeasureOf(Angle(P, N, M)), MeasureOf(Angle(P, Q, M)))"", ""Equals(MeasureOf(Angle(Q, P, N)), MeasureOf(Angle(Q, M, N)))""]",Parallelogram MNPQ  Equals MeasureOf Angle M  10x  Equals MeasureOf Angle N  20x  Find MeasureOf Angle Q    Equals MeasureOf Angle P N M   MeasureOf Angle P Q M    Equals MeasureOf Angle Q P N   MeasureOf Angle Q M N   
18,x=19+3,22,"[""Parallelogram(A,B,D,C)"", ""Find(y)"", ""Equals(LengthOf(Line(A, B)), 4x-17)"", ""Equals(MeasureOf(Angle(C, B, A)), 3y+3)"", ""Equals(LengthOf(Line(C, D)), 2x-1)"", ""Equals(MeasureOf(Angle(B, C, D)), 4y-19)""]",Parallelogram ABDC  Find y  Equals LengthOf Line A B   4x-17  Equals MeasureOf Angle C B A   3y+3  Equals LengthOf Line C D   2x-1  Equals MeasureOf Angle B C D   4y-19 
20,x=58+6,64,"[""Parallelogram(A, C, X, B)"", ""Find(y)"", ""Equals(MeasureOf(Angle(X, C, A)), y+58)"", ""Equals(MeasureOf(Angle(A, B, X)), 5y-6)"", ""Equals(MeasureOf(Angle(B, A, C)), 3x-17)"", ""Equals(MeasureOf(Angle(B, X, C)), 2x+24)""]",Parallelogram A C X B  Find y  Equals MeasureOf Angle X C A   y+58  Equals MeasureOf Angle A B X   5y-6  Equals MeasureOf Angle B A C   3x-17  Equals MeasureOf Angle B X C   2x+24 
22,x=(7^2*3.14)-(((7*1.73/2)*1/2*7)*5),47.9,"[""Find(AreaOf(Shape($)))"", ""PointLiesOnCircle(A, Circle(F, radius_5_0))"", ""PointLiesOnCircle(C, Circle(F, radius_5_0))"", ""PointLiesOnCircle(D, Circle(F, radius_5_0))"", ""PointLiesOnCircle(E, Circle(F, radius_5_0))"", ""PointLiesOnCircle(I, Circle(F, radius_5_0))"", ""Equals(LengthOf(Line(F, I)), 7)"", ""Equals(LengthOf(Line(A, C)), LengthOf(Line(C, E)))"", ""Equals(LengthOf(Line(C, E)), LengthOf(Line(C, I)))"", ""Equals(LengthOf(Line(E, I)), LengthOf(Line(I, D)))"", ""Equals(LengthOf(Line(I, D)), LengthOf(Line(A, D)))""]",Find AreaOf Shape $    PointLiesOnCircle A Circle F radius_5_0   PointLiesOnCircle C Circle F radius_5_0   PointLiesOnCircle D Circle F radius_5_0   PointLiesOnCircle E Circle F radius_5_0   PointLiesOnCircle I Circle F radius_5_0   Equals LengthOf Line F I   7  Equals LengthOf Line A C   LengthOf Line C E    Equals LengthOf Line C E   LengthOf Line C I    Equals LengthOf Line E I   LengthOf Line I D    Equals LengthOf Line I D   LengthOf Line A D   
23,x=12,,"[""Find(LengthOf(Line(R,S)))"", ""Equals(LengthOf(Line(T, R)), 2x+7)"", ""Equals(LengthOf(Line(S, R)), 3x-5)"", ""Equals(LengthOf(Line(T, S)), 22)"", ""Equals(LengthOf(Line(T, R)), LengthOf(Line(S, R)))""]",Find LengthOf Line RS    Equals LengthOf Line T R   2x+7  Equals LengthOf Line S R   3x-5  Equals LengthOf Line T S   22  Equals LengthOf Line T R   LengthOf Line S R   
24,x=180-105,75,"[""Parallelogram(W,X,Y,Z)"", ""Find(MeasureOf(Angle(W,Z,Y)))"", ""Equals(MeasureOf(Angle(X, W, Z)), 105)"", ""Equals(LengthOf(Line(Y, X)), 24)"", ""Equals(LengthOf(Line(Y, Z)), 28)""]",Parallelogram WXYZ  Find MeasureOf Angle WZY    Equals MeasureOf Angle X W Z   105  Equals LengthOf Line Y X   24  Equals LengthOf Line Y Z   28 
28,x=4+11,15,"[""Parallel(Line(F,B),Line(A,E))"", ""Find(x)"", ""Equals(MeasureOf(Angle(G, D, F)), 8x+4)"", ""Equals(MeasureOf(Angle(I, H, E)), 9x-11)"", ""PointLiesOnLine(H, Line(A, E))"", ""PointLiesOnLine(D, Line(H, G))"", ""PointLiesOnLine(D, Line(B, F))"", ""PointLiesOnLine(H, Line(D, I))"", ""PointLiesOnLine(D, Line(F, J))"", ""PointLiesOnLine(D, Line(C, G))"", ""PointLiesOnLine(D, Line(G, I))"", ""PointLiesOnLine(H, Line(G, I))""]",Parallel Line FB Line AE   Find x  Equals MeasureOf Angle G D F   8x+4  Equals MeasureOf Angle I H E   9x-11  PointLiesOnLine H Line A E   PointLiesOnLine D Line H G   PointLiesOnLine D Line B F   PointLiesOnLine H Line D I   PointLiesOnLine D Line F J   PointLiesOnLine D Line C G   PointLiesOnLine D Line G I   PointLiesOnLine H Line G I  
31,x=180/3,60,"[""Find(x)"", ""Equals(MeasureOf(Angle(G, C, E)), x)"", ""Equals(MeasureOf(Angle(E, C, A)), 2x)"", ""Equals(MeasureOf(Angle(D, C, A)), x)"", ""PointLiesOnLine(C, Line(D, G))""]",Find x  Equals MeasureOf Angle G C E   x  Equals MeasureOf Angle E C A   2x  Equals MeasureOf Angle D C A   x  PointLiesOnLine C Line D G  
