ID,str_exp,TextList,Segmened_text,var
5409,360,"Equals(MeasureOf(Angle(1)),125), MeasureOf(Angle(2)), MeasureOf(Angle(M)), MeasureOf(Angle(N)), MeasureOf(Angle(P)), MeasureOf(Angle(Q)), Find(MeasureOf(Angle(1)))",Equals MeasureOf Angle 1  125  MeasureOf Angle 2   MeasureOf Angle M   MeasureOf Angle N   MeasureOf Angle P   MeasureOf Angle Q   Find MeasureOf Angle 1   ,360
5269,360,Find(MeasureOf(Angle(F))),Find MeasureOf Angle F   ,360
122,360,Find(MeasureOf(Angle(F))),Find MeasureOf Angle F   ,360
6824,200,nan,nan,200
826,180,Find(MeasureOf(Angle(E))),Find MeasureOf Angle E   ,180
78,130,"Equals(Parallel(Line(a),LengthOf(Line(b), MeasureOf(Angle(1)))),130), Find(MeasureOf(Angle(2)))",Equals Parallel Line a LengthOf Line b  MeasureOf Angle 1    130  Find MeasureOf Angle 2   ,130
2476,128,"Point(A), Point(B), Point(C), Circle(O), Line(A,B), Line(C,D), Line(B,C), Line(D,E), Equals(MeasureOf(Angle(D)),128), Find(MeasureOf(Angle(B)))",Point A  Point B  Point C  Circle O  Line AB  Line CD  Line BC  Line DE  Equals MeasureOf Angle D  128  Find MeasureOf Angle B   ,128
527,125,"Equals(MeasureOf(Angle(1)),120), Equals(MeasureOf(Angle(2)),60), Equals(MeasureOf(Angle(4)),125), Find(MeasureOf(Angle(3)))",Equals MeasureOf Angle 1  120  Equals MeasureOf Angle 2  60  Equals MeasureOf Angle 4  125  Find MeasureOf Angle 3   ,125
5,120,"Line(a), Line(c), Equals(MeasureOf(Angle(1)),120), Find(MeasureOf(Angle(2)))",Line a  Line c  Equals MeasureOf Angle 1  120  Find MeasureOf Angle 2   ,120
141,120,"InscribedIn(Quadrilateral(A,B,C,D),Circle(O)), Line(C,D), Equals(MeasureOf(Angle(A,D,E)),120), Find(MeasureOf(Angle(B)))",InscribedIn Quadrilateral ABCD Circle O   Line CD  Equals MeasureOf Angle ADE  120  Find MeasureOf Angle B   ,120
3593,120,"InscribedIn(Quadrilateral(A,B,C,D),Circle($)), Equals(MeasureOf(Angle(A,B,C)),120), Find(Quadrilateral(A,B,C,D))",InscribedIn Quadrilateral ABCD Circle $   Equals MeasureOf Angle ABC  120  Find Quadrilateral ABCD  ,120
3487,110,"InscribedIn(Quadrilateral(A,B,C,D),Circle(O)), Line(B,C), Equals(MeasureOf(Angle(D,C,E)),110), Find(MeasureOf(Angle(A)))",InscribedIn Quadrilateral ABCD Circle O   Line BC  Equals MeasureOf Angle DCE  110  Find MeasureOf Angle A   ,110
885,110,"Line(a), Line(c), Equals(MeasureOf(Angle(1)),110), Find(MeasureOf(Angle(2)))",Line a  Line c  Equals MeasureOf Angle 1  110  Find MeasureOf Angle 2   ,110
3546,110,"Quadrilateral(A,B,C,D), Quadrilateral($), Circle(O), Point(E), Line(C,D), Equals(MeasureOf(Angle(A,B,C)),110), Find(MeasureOf(Angle(A,D,E)))",Quadrilateral ABCD  Quadrilateral $  Circle O  Point E  Line CD  Equals MeasureOf Angle ABC  110  Find MeasureOf Angle ADE   ,110
3568,110,"Quadrilateral(A,B,C,D), Quadrilateral($), Circle(O), Equals(MeasureOf(Angle(B)),110), Find(MeasureOf(Angle(A,D,E)))",Quadrilateral ABCD  Quadrilateral $  Circle O  Equals MeasureOf Angle B  110  Find MeasureOf Angle ADE   ,110
1107,110,"Parallel(Line(A,B),Line(C,E)), Equals(MeasureOf(Angle(A)),110), Find(MeasureOf(Angle(A,D,E)))",Parallel Line AB Line CE   Equals MeasureOf Angle A  110  Find MeasureOf Angle ADE   ,110
8307,100,"Angle($), Equals(LengthOf(Line(B,C)),())",Angle $  Equals LengthOf Line BC     ,100
1003,100,"Point(A), Point(B), Point(C), Circle(O), Equals(MeasureOf(Angle(B)),100), Find(MeasureOf(Angle(A,D,E)))",Point A  Point B  Point C  Circle O  Equals MeasureOf Angle B  100  Find MeasureOf Angle ADE   ,100
5799,90,"Triangle(A,B,C), Equals(MeasureOf(Angle(A)),36), Equals(LengthOf(Line(A,B)),Line(A,C)), BisectsAngle(Line(B,F),MeasureOf(Angle(A,B,C))), IsMidpointOf(Point(E),Line(A,F)), Perpendicular(Line(D,E),Line(A,C)), Line(A,B), Line(D,C), Line(B,F), Find(MeasureOf(Angle(D,P,B)))",Triangle ABC  Equals MeasureOf Angle A  36  Equals LengthOf Line AB  Line AC   BisectsAngle Line BF MeasureOf Angle ABC    IsMidpointOf Point E Line AF   Perpendicular Line DE Line AC   Line AB  Line DC  Line BF  Find MeasureOf Angle DPB   ,90
9874,90,"Circle(O), Equals(IsChordOf(Line(A,B),Circle($)),2), Perpendicular(Line(O,C),Line(A,B)), Equals(LengthOf(Line(O,C)),1), Point(P), Find(MeasureOf(Angle(A,P,B)))",Circle O  Equals IsChordOf Line AB Circle $  2  Perpendicular Line OC Line AB   Equals LengthOf Line OC  1  Point P  Find MeasureOf Angle APB   ,90
