id,str_exp,TextList,Segmened_text,vars
0,|||180-80.0|-60.0|-180|,"LengthOf(Triangle(A,B,C)), Equals(MeasureOf(Angle(A)),80бу), Equals(MeasureOf(Angle(B)),60бу), Parallel(Line(D,E),Line(B,C)), MeasureOf(Angle(C,E,D))",LengthOf Triangle ABC   Equals MeasureOf Angle A  80бу  Equals MeasureOf Angle B  60бу  Parallel Line DE Line BC   MeasureOf Angle CED  ,140
1,(|180-50.0|/2),"Parallel(Line(A,B),Line(C,D)), Line(E,F), Line(A,B), Point(E), Line(C,D), Point(F), BisectsAngle(Line(E,G),MeasureOf(Angle(B,E,F))), Point(G), Equals(MeasureOf(Angle(1)),50бу), MeasureOf(Angle(2))",Parallel Line AB Line CD   Line EF  Line AB  Point E  Line CD  Point F  BisectsAngle Line EG MeasureOf Angle BEF    Point G  Equals MeasureOf Angle 1  50бу  MeasureOf Angle 2  ,65
2,((б╠(5.0*5.0-4.0*4.0))*2),"IsChordOf(Line(A,B),Circle($)), Equals(Circle($),\tan), Circle($)",IsChordOf Line AB Circle $   Equals Circle $ \tan  Circle $ ,6
3,(30.0*2),"Equals(LengthOf(Line(O,A)),Line(O,B)), Equals(LengthOf(Line(O,B)),Line(O,C)), Equals(MeasureOf(Angle(A,C,B)),30бу), MeasureOf(Angle(A,O,B))",Equals LengthOf Line OA  Line OB   Equals LengthOf Line OB  Line OC   Equals MeasureOf Angle ACB  30бу  MeasureOf Angle AOB  ,60
4,70,"Line(a), Line(c), Line(b), Equals(MeasureOf(Angle(1)),70бу), MeasureOf(Angle(2))",Line a  Line c  Line b  Equals MeasureOf Angle 1  70бу  MeasureOf Angle 2  ,70
5,120,"Line(a), Line(c), Equals(MeasureOf(Angle(1)),120бу), MeasureOf(Angle(2))",Line a  Line c  Equals MeasureOf Angle 1  120бу  MeasureOf Angle 2  ,120
6,|180-135.0|,"Parallel(Line(A,B),Line(C,D)), Equals(MeasureOf(Angle(2)),135бу), MeasureOf(Angle(1))",Parallel Line AB Line CD   Equals MeasureOf Angle 2  135бу  MeasureOf Angle 1  ,45
8,(10.0*2),"Shape($), Isosceles(Trapezoid(A,B,C,D)), SideOf(Regular(Polygon($))), Equals(LengthOf(Line(A,C)),10), Quadrilateral(E,F,G,H)",Shape $  Isosceles Trapezoid ABCD   SideOf Regular Polygon $    Equals LengthOf Line AC  10  Quadrilateral EFGH ,20
9,((3.0/9.0)/2.0),"Line(B,E), HeightOf(Polygon($)), Line(C,D), Equals(Line(B,E),2), Equals(LengthOf(Line(A,B)),3), Equals(LengthOf(Line(A,C)),9), Point(A), Point(E), Point(D)",Line BE  HeightOf Polygon $   Line CD  Equals Line BE 2  Equals LengthOf Line AB  3  Equals LengthOf Line AC  9  Point A  Point E  Point D ,6
11,|(4.0*2)-30.0|,"PerimeterOf(Polygon($)), Equals(LengthOf(Triangle(A,B,C)),30cm), Line(A,C), LengthOf(Triangle(A,B,C)), Point(A), Line(B,C), Point(D), Point(E), Line(A,D), Equals(LengthOf(Line(A,E)),4cm), LengthOf(Triangle(A,B,D))",PerimeterOf Polygon $   Equals LengthOf Triangle ABC  30cm  Line AC  LengthOf Triangle ABC   Point A  Line BC  Point D  Point E  Line AD  Equals LengthOf Line AE  4cm  LengthOf Triangle ABD  ,22
13,||180-36.0|-90|,"Point(O), Line(A,B), Line(O,C), Line(O,D), Equals(MeasureOf(Angle(C,O,A)),36бу), MeasureOf(Angle(D,O,B))",Point O  Line AB  Line OC  Line OD  Equals MeasureOf Angle COA  36бу  MeasureOf Angle DOB  ,54
